context
"Filename: TG Booklet 4, Paragraph(s) Number: 307, Content: ·       Provide on-the-job training as needed if a problem is identified. For example, during a review of the analysis workbook, the supervisor noted that case fatality rates were not calculated correctly. The supervisor met with the health staffs who do the calculation and reviewed the steps for calculating the rate with the staff. "
"Filename: TG Booklet 4, Paragraph(s) Number: 308, Content: ·       Follow up on any request for assistance such as for emergency response equipment or supplies. "
"Filename: TG Booklet 4, Paragraph(s) Number: 309, Content: ·       If a solution to a pre-existing problem was identified in a previous visit, check to see how well the solution has been implemented. Find out if problems are still occurring and modify the solution if necessary. "
"Filename: TG Booklet 4, Paragraph(s) Number: 310, Content: ·       Ensure that both the supervisor and supervisee sign the supervision reports and also provide dates when the supervision was done. "
"Filename: TG Booklet 4, Paragraph(s) Number: 311, Content: (e)     Write a report of the supervisory visit "
"Filename: TG Booklet 4, Paragraph(s) Number: 312, Content: Put in the report achievements that were identified during the visit. Also state the follow-up actions that were planned with the health staff and any requests for additional resources, funds or special problems. "
"Filename: TG Booklet 4, Paragraph(s) Number: 313, Content: (f)      Use supervisory visits to improve surveillance activities in the district "
"Filename: TG Booklet 4, Paragraph(s) Number: 314, Content: Visits of surveillance supervisors are good opportunities to discuss and improve disease control in your district. For example, if a national malaria control person visits the district, you may utilise their visit to discuss why the inpatient malaria deaths have not been declining. You can ask about additional ideas or resources that the malaria control program can provide. "
"Filename: TG Booklet 4, Paragraph(s) Number: 315, Content: 8.5.2 Feedback "
"Filename: TG Booklet 4, Paragraph(s) Number: 316, Content: In most cases, health facilities and districts reliably report surveillance data to the next level as required. When the district or national managers receive data, they should respond to the health facilities that reported it. The purpose of the feedback is to reinforce health workers’ effort to participate in the surveillance system. Another purpose is to raise awareness about certain diseases and any achievements of disease control and prevention projects in the area. Feedback is classified as supportive when it reinforces and acknowledges good performance and corrective when a change in behaviour and improvement is required. It also strengthens the communication and spirit of team working. The feedback should be both vertical and horizontal targeting at different audiences as provided by different levels in the health system. Effective feedback should be; "
"Filename: TG Booklet 4, Paragraph(s) Number: 317, Content: ·       Specific to assure the recipient understands the subject of the feedback "
"Filename: TG Booklet 4, Paragraph(s) Number: 318, Content: ·       Should be based on the report submitted or the actual events and activities observed in the field "
"Filename: TG Booklet 4, Paragraph(s) Number: 319, Content: ·       Be given as soon as feasible after receiving the report or field visit, so that the recipient will remember the activities that should be either sustained or corrected "
"Filename: TG Booklet 4, Paragraph(s) Number: 320, Content: If the facility does not receive information from the next level about how the data were used or what the data meant, health staff may think that their reporting is not important. As a result, future reporting may not be as reliable because health staff will not know if the information they sent to other levels was important or necessary. They will have a good understanding of the health situation at their own level, but they will not have the information they need for characterizing the situation at a district or national level. At the community level, communication includes building relationships, communicate and coordination with other community key informants, resource persons and existing formal and informal networks for information dissemination and reporting. "
"Filename: TG Booklet 4, Paragraph(s) Number: 321, Content: Feedback may be written, such as a monthly newsletter/bulletin, emails, WhatsApp, SMS or periodic official information like publications or it may be given verbally through telephone call or periodic meetings. Although this section focuses on district level feedback, this can also be applied in health facility and national levels. Feedback may also be given during supportive supervision carried out by Districts to health facilities, to Districts or National to districts. The supervision can be on performance of health programs and feedback can be provided during these visits. "
"Filename: TG Booklet 4, Paragraph(s) Number: 322, Content: (a)     Develop and disseminate routine epidemiological bulletins "
"Filename: TG Booklet 4, Paragraph(s) Number: 323, Content: Feedback should also be given periodically of IDSR reportable diseases/conditions, and this can be through weekly, monthly or quarterly epidemiological bulletins. The bulletins provide information on disease patterns and achievement of program objectives in the country. They are usually brief and are important for reaching policy makers, legislators, development partners, program technical staff and stakeholders. As a minimum, they contain: "
"Filename: TG Booklet 4, Paragraph(s) Number: 324, Content: ·       A summary table with the number of reported cases and deaths to date for each priority disease "
"Filename: TG Booklet 4, Paragraph(s) Number: 325, Content: ·       A commentary or message on a given disease or topic "
"Filename: TG Booklet 4, Paragraph(s) Number: 326, Content: ·       Any relevant social, economic or cultural information or data on the context that can lead to the creation of real intelligence regarding an event. Annex 8H shows examples of an epidemiological bulletin "
"Filename: TG Booklet 4, Paragraph(s) Number: 327, Content: (b) Develop information summary sheets "
"Filename: TG Booklet 4, Paragraph(s) Number: 328, Content: An information summary sheet is a report that presents data and its interpretation in a table or other graphic format. For example: "
"Filename: TG Booklet 4, Paragraph(s) Number: 329, Content: ·         At a staff meeting, or during a supervisory visit, give a verbal report or comment about the data that were reported by the health facility during a given period. "
"Filename: TG Booklet 4, Paragraph(s) Number: 330, Content: ·         Display the data in a simple table. Sit with the health staff and show them the data. Talk together about the likely conclusions that can be drawn. Consider conclusions not only for the health facility, but also for the district as a whole. "
"Filename: TG Booklet 4, Paragraph(s) Number: 331, Content: ·         Prepare a single sheet with a simple table that shows how the data reported for this period are different from the data reported for some other period or target population. For example, show the number of cases of diarrhoea with dehydration in children less than 5 years of age from the same period last year. Compare them with a corresponding period this year, after a safe water project was implemented in a high-risk area, for example, use the summary sheets to support requests made to higher levels for additional funds, supplies and resources. "
"Filename: TG Booklet 4, Paragraph(s) Number: 332, Content: (c) Develop district newsletters "
"Filename: TG Booklet 4, Paragraph(s) Number: 333, Content: The purpose of a district newsletter is to provide shorter updates than those provided in a more detailed feedback bulletin. The district newsletter is useful for informing and motivating health staff. The target audience for a newsletter could be health staff in the district. The newsletter can be 2 to 4 pages long and produced simply with a computer entered text. "
"Filename: TG Booklet 4, Paragraph(s) Number: 334, Content: Examples of articles that could be carried in a newsletter are: "
"Filename: TG Booklet 4, Paragraph(s) Number: 335, Content: ·         Summary of national or district data for a given priority disease "
"Filename: TG Booklet 4, Paragraph(s) Number: 336, Content: ·         Report of progress towards a specific public health target "
"Filename: TG Booklet 4, Paragraph(s) Number: 337, Content: ·         Report of a specific achievement towards public health by an individual health "
"Filename: TG Booklet 4, Paragraph(s) Number: 338, Content:        worker    "
"Filename: TG Booklet 4, Paragraph(s) Number: 339, Content: ·         or a group of health workers "
"Filename: TG Booklet 4, Paragraph(s) Number: 340, Content: ·         Description of special events or activities (for example, a change in market day) "
"Filename: TG Booklet 4, Paragraph(s) Number: 341, Content: 8.6 Evaluate effectiveness of the performance of IDSR strategy "
"Filename: TG Booklet 4, Paragraph(s) Number: 342, Content: The purpose of evaluation of a surveillance system is to assess the effectiveness of the system and response system in terms of timeliness, quality of data, preparedness, case management, overall performance and using the indicators to identify gaps or areas that could be strengthened. A comprehensive evaluation should thus include the surveillance system and if already available the IDSR Implementation Plan. The evaluation of the surveillance system should: "
"Filename: TG Booklet 4, Paragraph(s) Number: 343, Content: ·       Show to what extent the desired outputs and outcomes are achieved; "
"Filename: TG Booklet 4, Paragraph(s) Number: 344, Content: ·       Provide explanations for achievements, disparities and failures; "
"Filename: TG Booklet 4, Paragraph(s) Number: 345, Content: ·       Document the quality of system and demonstrate any changes in its performance; "
"Filename: TG Booklet 4, Paragraph(s) Number: 346, Content: ·       Demonstrate the extent to which the overall surveillance objectives are achieved. "
"Filename: TG Booklet 4, Paragraph(s) Number: 347, Content: Depending on the development status of surveillance in a district, select indicators for evaluation that will provide information that relates to the district’s priorities and objectives for the year. "
"Filename: TG Booklet 4, Paragraph(s) Number: 348, Content: If there is already an IDSR implementation plan with clearly defined objectives, then it is appropriate to conduct mid-term and end-of-term evaluations. Otherwise surveillance systems should be evaluated every 2, 3 or 5 years. "
"Filename: TG Booklet 4, Paragraph(s) Number: 349, Content: Key steps in evaluation include: "
"Filename: TG Booklet 4, Paragraph(s) Number: 350, Content: 8.6.1 Define your objectives "
"Filename: TG Booklet 4, Paragraph(s) Number: 351, Content: ·       Objectives should be simple, measurable, attainable, realistic, and time-bound (SMART). "
"Filename: TG Booklet 4, Paragraph(s) Number: 352, Content: 8.6.2 Development of evaluation indicators "
"Filename: TG Booklet 4, Paragraph(s) Number: 353, Content: ·       Indicators should be identified for each of the evaluation objectives, and should be harmonized as much as possible with the monitoring indicators. "
"Filename: TG Booklet 4, Paragraph(s) Number: 354, Content: 8.6.3 Development of evaluation methods and tools "
"Filename: TG Booklet 4, Paragraph(s) Number: 355, Content: ·       Based on these indicators, an evaluation protocol should be developed describing how the evaluation will be conducted, methods, target group, data sources, data collection methods, and plan for data analysis and utilization "
"Filename: TG Booklet 4, Paragraph(s) Number: 356, Content: 8.6.4 Identify people to conduct the evaluation "
"Filename: TG Booklet 4, Paragraph(s) Number: 357, Content: ·       Determine who will be the evaluators; people within the districts, people outside the district, or a mixture of people including and partners/donors. Depending on the scope of the evaluation, its purpose and the available resources, a decision should be made during the planning stage on who should undertake them. "
"Filename: TG Booklet 4, Paragraph(s) Number: 358, Content: To ensure objectivity and transparency during the evaluation process, a blend of self-internal evaluations and external evaluations should be conducted periodically. "
"Filename: TG Booklet 4, Paragraph(s) Number: 359, Content: 8.6.5 Conduct the evaluation "
"Filename: TG Booklet 4, Paragraph(s) Number: 360, Content: 8.6.5.1 Compile and organize monitoring data and other results "
"Filename: TG Booklet 4, Paragraph(s) Number: 361, Content: The district health office should summarize the surveillance data received from all health facilities in the catchment area, and submit the compiled report to the national level as appropriate. The submission of the report should not be delayed until reports from all health facilities are received. Submit all reports received on time. Late reports may be submitted when they arrive. Follow up with health facilities who did not report or who consistently provide late reports. "
"Filename: TG Booklet 4, Paragraph(s) Number: 362, Content: Help the health facility to solve any problems that prevent them from submitting their summary reports on time. Provide feedback to health facilities about the indicator results on a regular basis. Feedback is a positive tool for motivating health staff to provide information on time and contribute to the national reporting system. "
"Filename: TG Booklet 4, Paragraph(s) Number: 363, Content: The national level should compile the surveillance data received from all the districts. It national level should look for epidemics that were not identified by the districts. Follow up with areas where reporting continues to be unreliable or does not happen at all. Support the districts in providing assistance to the health facilities when they evaluate the measurements and take action to improve the situation. Provide feedback to each of the levels (national, district, health facility and community). "
"Filename: TG Booklet 4, Paragraph(s) Number: 364, Content: Use a monitoring chart such as the one on the next page to monitor performance of the indicators at your level. Share these results with the staff in your catchment level. Acknowledge successes and help health staff to maintain the positive progress. When problems occur, talk together about what is causing the problem and how it can be solved. Seek assistance of the next level as needed for obtaining additional help or resources. "
"Filename: TG Booklet 4, Paragraph(s) Number: 365, Content: Gather data from several sources. For example: "
"Filename: TG Booklet 4, Paragraph(s) Number: 366, Content: o   Review the objectives for the year listed in the district’s annual plan for improving surveillance and response. "
"Filename: TG Booklet 4, Paragraph(s) Number: 367, Content: o   Gather the monthly summaries of cases and deaths reported to the district, spot maps, and other analysis results performed by the district. "
"Filename: TG Booklet 4, Paragraph(s) Number: 368, Content: o   Collect any results from special surveys or studies that were done in the district over the previous year. "
"Filename: TG Booklet 4, Paragraph(s) Number: 369, Content: o   Include case investigation forms and reports of outbreak response activities that took place in the district. "
"Filename: TG Booklet 4, Paragraph(s) Number: 370, Content: o   Gather summary information from the community and also from health staff "
"Filename: TG Booklet 4, Paragraph(s) Number: 371, Content: 8.6.5.2 Analyse data "
"Filename: TG Booklet 4, Paragraph(s) Number: 372, Content: As you evaluate the summary data for the year, some items to decide on are: "
"Filename: TG Booklet 4, Paragraph(s) Number: 373, Content: o   Were the reports complete, on time and accurate? "
"Filename: TG Booklet 4, Paragraph(s) Number: 374, Content: o   What were significant changes in disease or event trends during the year? If an increase occurred, was the problem identified? "
"Filename: TG Booklet 4, Paragraph(s) Number: 375, Content: o   If additional cases are still occurring, why are they occurring? Where are they occurring? "
"Filename: TG Booklet 4, Paragraph(s) Number: 376, Content: o   Were appropriate and timely actions taken in response to the surveillance data? "
"Filename: TG Booklet 4, Paragraph(s) Number: 377, Content: o   Were supervisory visits conducted as planned and follow up tasks carried out as planned? "
"Filename: TG Booklet 4, Paragraph(s) Number: 378, Content: o   Did the community feel that response activities were successful? "
"Filename: TG Booklet 4, Paragraph(s) Number: 379, Content: o   Were any actions taken to address health staff requests or suggestions about services or surveillance? "
"Filename: TG Booklet 4, Paragraph(s) Number: 380, Content: o   Were appropriate measures taken to prevent similar events? "
"Filename: TG Booklet 4, Paragraph(s) Number: 381, Content: 8.6.5.3 Identify problems and their causes "
"Filename: TG Booklet 4, Paragraph(s) Number: 382, Content: If problems occurred, and the district did not meet an expected target, or reach a desired level of performance with any indicator, find out what caused the difference between what was planned and what actually occurred. If a problem is identified, talk with the district team and health facility staff to find out the possible causes of the problem. "
"Filename: TG Booklet 4, Paragraph(s) Number: 383, Content: 8.6.6 Update plans for improvements to the IDSR system "
"Filename: TG Booklet 4, Paragraph(s) Number: 384, Content: Include in the district plan successful activities that should continue. Also include feasible solutions selected as a result of analysis of the year’s annual evaluation. Plan to implement the solution. For example: "
"Filename: TG Booklet 4, Paragraph(s) Number: 385, Content: ·      State the new activity and its objectives. "
"Filename: TG Booklet 4, Paragraph(s) Number: 386, Content: ·      Specify the personnel who will carry out the activity. "
"Filename: TG Booklet 4, Paragraph(s) Number: 387, Content: ·      Estimate the cost of the activity (if any). "
"Filename: TG Booklet 4, Paragraph(s) Number: 388, Content: ·      Develop a timetable for the activity. Define the sequence of activities in logical order. "
"Filename: TG Booklet 4, Paragraph(s) Number: 389, Content: ·      Specify the logistics for the new activity (equipment, personnel, transportation, resource allocation). "
"Filename: TG Booklet 4, Paragraph(s) Number: 390, Content: 8.6.7 Provide feedback to health facilities about the evaluation "
"Filename: TG Booklet 4, Paragraph(s) Number: 391, Content: Provide a report and give feedback to health facilities and others in the district about the results of the evaluation activity. Mention in the feedback report: "
"Filename: TG Booklet 4, Paragraph(s) Number: 392, Content: ·         What the objectives were for the year. "
"Filename: TG Booklet 4, Paragraph(s) Number: 393, Content: ·         What was actually achieved "
"Filename: TG Booklet 4, Paragraph(s) Number: 394, Content: ·         What were likely reasons for any differences between what was planned and what    "
"Filename: TG Booklet 4, Paragraph(s) Number: 395, Content:    was achieved. "
"Filename: TG Booklet 4, Paragraph(s) Number: 396, Content: ·         Recommended solutions and prioritized activities for improving    "
"Filename: TG Booklet 4, Paragraph(s) Number: 397, Content:    surveillance and response in the district. "
"Filename: TG Booklet 4, Paragraph(s) Number: 398, Content: 8.7 Annexes to section 8 "
"Filename: TG Booklet 4, Paragraph(s) Number: 399, Content: Annex 8A:      IDSR core surveillance indicators for the health facility level "
"Filename: TG Booklet 4, Paragraph(s) Number: 400, Content: Annex 8B:      IDSR core surveillance indicators for the district level "
"Filename: TG Booklet 4, Paragraph(s) Number: 401, Content: Annex 8C:      IDSR core functions at the national level "
"Filename: TG Booklet 4, Paragraph(s) Number: 402, Content: Annex 8D:      Monitoring Chart for performance of IDSR indicators at health facility level "
"Filename: TG Booklet 4, Paragraph(s) Number: 403, Content: Annex 8E:      Monitoring chart for performance of IDSR indicators at district "
"Filename: TG Booklet 4, Paragraph(s) Number: 404, Content: Annex 8F:      Sample form for recording timeliness and completeness of monthly reporting from the health facility to the district level "
"Filename: TG Booklet 4, Paragraph(s) Number: 405, Content: Annex 8G:     Checklist for supervising surveillance and response activities at the health facility "
"Filename: TG Booklet 4, Paragraph(s) Number: 406, Content: Annex 8H:     Sample Weekly and Monthly Public Health Bulletin "
"Filename: TG Booklet 4, Paragraph(s) Number: 407, Content: Annex 8I:       Indicators for Monitoring Performance of Core functions of IDSR "
"Filename: TG Booklet 4, Paragraph(s) Number: 408, Content: Annex 8A: Indicators for monitoring IDSR core functions at the health facility level   ﷐IDSR Core Function ﷐Indicator ﷐Purpose ﷐Numerator ﷐Denominator ﷐Source of information ﷐Target ﷐When to be done ﷐Identify ﷐Availability of Standard case definition (SCD) and IDSR forms/registers ﷐Correctly identifying and filling cases/events ﷐N/A ﷐N/A ﷐Checklist for the in charge at the Health facility ﷐N/A ﷐Quarterly ﷐Existence of a mechanism to capture unusual or public health events from non-routine sources ﷐Measure the ability of the system to capture unusual events ﷐N/A ﷐N/A ﷐Interviews   Health facility log of suspected outbreaks and alerts   Event based electronic platforms ﷐N/A ﷐Monthly ﷐Reporting ﷐Proportion of complete surveillance reports submitted on time to the district ﷐The practice of health facilities in submitting timely surveillance reports to the next level ﷐Number of complete surveillance reports submitted on time to the district ﷐Number of expected surveillance reports from the health facility ﷐Monitoring chart for timely submission of report4   Electronic reporting platforms ﷐80% ﷐Weekly/Monthly ﷐Proportion of cases of diseases targeted for elimination, eradication and any other disease selected for case-based surveillance reported with case-based forms or line lists. ﷐Measures reporting of surveillance data with detailed information to use for further analysis ﷐Number of cases of diseases selected for case-based surveillance reported with case-based forms or line list ﷐Total  number of cases of diseases selected for case- based surveillance that occurred in the health facility ﷐Routine summary reports and case-based or line listing reports ﷐80% ﷐Monthly ﷐Analysis and Interpretation ﷐Proportion of priority diseases for which a current line graph is available. ﷐Measures the practice and capacity to analyse surveillance data ﷐Number of priority diseases for which a current line graph is available. ﷐Total number of priority diseases ﷐The activity checklist for the “in charge” at the health facility and the IDSR summary reporting forms from the health facility ﷐80% ﷐Quarterly ﷐  ﷐Proportion of priority diseases for which an updated spot map is available. ﷐Measures the practice and capacity to analyse surveillance data ﷐Number of priority diseases for which an updated spot map is available. ﷐Total number of priority diseases ﷐The activity checklist for the “in charge” at the health facility and the IDSR summary reporting forms from the health facility ﷐80% ﷐Quarterly ﷐  ﷐Proportion of priority diseases for which there is current lab data analysis (if a health facility has a laboratory) ﷐Evidence of routine laboratory data analysis and interpretation ﷐Number of priority diseases for which a current lab data analysis is available. ﷐Total number of priority diseases ﷐Laboratory register ﷐80% ﷐Quarterly ﷐Investigation and confirmation of suspected outbreaks   ﷐Proportion of suspected outbreaks of epidemic prone disease and other PHE notified to the district level within 24 hours of surpassing the epidemic  threshold ﷐Measures early detection and timely reporting of outbreaks ﷐Number of suspected outbreaks of epidemic prone diseases notified to the district within 24 hours of surpassing the alert threshold ﷐Total number of suspected outbreaks of epidemic prone diseases in the health facility ﷐Health facility log of suspected outbreaks and alerts ﷐80% ﷐Yearly ﷐  ﷐Proportion of specimens from suspected cases sent within 24 hours of collection**   ﷐Measure capacity to refer samples in a timely manner ﷐Number of suspected cases for which samples were sent within 24hrs ﷐Total  number of suspected cases ﷐Laboratory register   ﷐80% ﷐Yearly       ﷐  ﷐Proportion of samples of suspect cases whose lab test results are returned within acceptable turn-around-time (TAT). (TAT will depend on type of test, type of sample and where test is done).     ﷐Measures the functionality of the specimen referral network and the reference lab functionality ﷐Number of samples of suspected cases whose lab test results have returned within the TAT   ﷐Total  number of samples  of suspected cases sent ﷐Laboratory register   ﷐80% ﷐Monthly ﷐Prepare ﷐Availability of key supplies for emergency response (see kit)***   ﷐Measure preparedness of a facility ﷐N/A ﷐N/A ﷐Health facility Inventory   Observation ﷐N/A ﷐Quarterly ﷐  ﷐Availability of All hazards emergency preparedness and response plan ﷐Measure preparedness of Health facility ﷐N/A ﷐N/A ﷐Annual Work plans ﷐  ﷐Annually ﷐Respond ﷐Availability of a functional Public Health Emergency Management Committee (based on facility staffing and country context) committee (based on facility staffing and country context) ﷐Measure ability to respond at health facility level ﷐N/A ﷐N/A ﷐Minutes from Health Facility records ﷐  ﷐Quarterly ﷐  ﷐Case fatality for each epidemic- prone disease reported ﷐Measure response activities (early treatment seeking behaviour and quality of healthcare services) ﷐Number of deaths from each of the epidemic prone diseases     ﷐Number of cases from the same epidemic prone diseases       ﷐Routine reports and outbreak investigation ﷐Depends on disease ﷐Quarterly ﷐  ﷐Attack rate for each epidemic-prone disease reported ﷐Measure response activities ﷐Number of new cases detected ﷐Population at risk ﷐Routine reports and outbreak investigation ﷐Depends on disease ﷐Quarterly ﷐  ﷐Availability of IPC measures in all health facilities including a holding area ﷐Measures ability to prevent nosocomial infections ﷐N/A ﷐N/A ﷐Observation ﷐  ﷐Annually ﷐  ﷐Availability of an isolation facility in all hospitals ﷐Measures ability to effectively manage highly infectious patients ﷐N/A ﷐N/A ﷐Observation ﷐  ﷐Bi-annually ﷐  ﷐Proportion of HCWs trained in IPC in last 12 months at the facility ﷐Measures ability to prevent nosocomial infections ﷐Number of HCWs trained in IPC in last 12 months at a facility X ﷐Total number expected to be trained ﷐Training reports ﷐80% ﷐Annually ﷐Provide Feedback ﷐Community feedback sessions at least once quarterly     ﷐Measures continuous community engagement ﷐N/A ﷐N/A ﷐Community feedback reports ﷐  ﷐Quarterly ﷐  ﷐Proportion of feedback bulletins/reports received from the next higher level ﷐Presence of a feedback mechanism ﷐N/A ﷐N/A ﷐Observation ﷐100% ﷐Quarterly "
"Filename: TG Booklet 4, Paragraph(s) Number: 409, Content: *** Tracer emergency kit: e.g. Gloves, I.V fluids, medicines masks, aprons, boots, disinfectants, specimen collection kits, "
